Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Raga Abhogi,,1 2 3b 4 6 .,101101000100,5,4.6,C D Eb F A .,(L) (s) (L) (2L) (L+s),6-25-4 .,F,Dm,,Adim
"Raga Rukmangi, Pelog 2",Chord Cm7b9,1 2b 3b 5 7b .,110100010010,5,4.6,C Db Eb G Bb .,(s) (L) (2L) (L+s) (L),6-25-6 .,Eb,Cm,,Gdim
Raga Valaji (India) - Thriteenth e.g.C13,Chord C13,1 3 5 6 7b .,100010010110,5,4.6,C E G A Bb .,(2L) (L+s) (L) (s) (L),6-25-3 .,C,Am,,Edim
Romanian Bacovia,Raga Girija,1 3 4 5# 7 .,100011001001,5,4.6,C E F G# B .,(2L) (s) (2L-s)  (L+s) (s),9-34589-2 .,E,,C+,
Raga Shubravarni (India),,1 2 4# 6 7 .,101000100101,5,4.6,C D F# A B .,(L) (2L) (L+s) (L) (s),6-25-1 .,D,Bm,,
Theoretical - No Known Name,,1 3b 4 5b 6b .,100101101000,5,4.6,C Eb F Gb Ab .,(L+s) (L) (s) (L) (2L),6-25-7 .,Ab,Fm,,Cdim
Raga Dhavalashri (India),Chord C6sus#4,1 3 4# 5 6 .,100010110100,5,4.6,C E F# G A .,(2L) (L) (s) (L) (L+s),6-36-1 .,C,Am,,
Raga Rasranjani (India),,1 2 4 6 7 .,101001000101,5,4.6,C D F A B .,(L) (L+s) (2L) (L) (s),6-36-2 .,F,Dm,,Bdim
Theoretical - No Known Name,Chord Cm13,1 3b 5 6 7b .,100100010110,5,4.6,C Eb G A Bb .,(L+s) (2L) (L) (s) (L),6-36-4 .,Eb,Cm,,Adim
Raga Audva Tukhari (India),Raga  Auday,1 2 3b 4 6b .,101101001000,5,4.6,C D Eb F Ab .,(L) (s) (L) (L+s) (2L),6-36-5 .,Ab,Fm,,Ddim
Theoretical - No Known Name,,1 2b 3b 5b 7b .,110100100010,5,4.6,C Db Eb Gb Bb .,(s) (L) (L+s) (2L) (L),6-36-7 .,Gb,Ebm,,Cdim
Raga Harikauns (India) (Sharps),Chin: China,1 2# 4# 5# 6# .,100100101010,5,4.6,C D# F# G# A# .,(2L-s) (L+s) (L) (L) (2s),10-234568-1 .,,D#m,,
Raga Multani (India),,1 2# 4# 5 7 .,100100110001,5,4.6,C D# F# G B .,(2L-s) (L+s) (s) (2L) (s),9-34589-1 .,B,,G+,
Raga Multani (India)?,,1 3b 4# 5 7 .,100100110001,5,4.6,C Eb F# G B .,(L+s) (2L-s) (s) (2L) (s),9-23678-4 .,,Cm,Eb+,
"Raga Jivantini, Gaurikriya (India",,1 b3 5b 5 b7 7 .,100100110011,6,4.6,C Eb Gb G Bb B .,(L+s) (L+s) (L-s) (L+s) (L-s) (s),11-23691011-7 .,,,,
Raga Priyadharshini (India),,1 2 4 5# 7 .,101001001001,5,4.6,C D F G# B .,(L) (L+s) (2L-s) (L+s) (s),9-35689-2 .,,,,G#dim Bdim
"Raga Reva, Revagupti (India)","Ramkali,            Vibhas (Bhairava)",1 2b 3 5 6b .,110010011000,5,4.6,C Db E G Ab  .,(s) (2L-s) (L+s) (s) (2L),9-34589-6 .,C,,Ab+,
Theoretical - No Known Name,,1 6b 6 7b 7 .,100000001111,5,4.6,C Ab A Bb B .,(3L+2s) (L-s) (s) (L-s) (s),9-24679-5 .,,,,
Theoretical - No Known Name,,1 3 4 4# 6b 7b .,100011101010,6,4.6,C E F F# Ab Bb .,(2L) (s) (L-s) (2s) (L) (L),10-267810-5 .,,Fm,Ab+,
Romanian Bacovia,Raga Girija,1 3 4 6b 7 .,100011001001,5,4.6,C E F Ab B .,(2L) (s) (L+s) (2L-s) (s),9-23678-5 .,,Fm,Ab+,
Theoretical - No Known Name,,1 3b 4# 6 7 .,100100100101,5,4.6,C Eb F# A B .,(L+s) (2L-s) (L+s) (L) (s),9-23568-4 .,,,,Adim
Theoretical - No Known Name,,1 3b 4# 6 7b .,100100100110,5,4.6,C Eb F# A Bb .,(L+s) (2L-s) (L+s) (s) (L),9-35689-4 .,,,,Adim
Theoretical - No Known Name,,1 3b 4# 6 7b 7 .,100100100111,6,4.6,C Eb F# A Bb B .,(L+s) (2L-s) (L+s) (s) (L-s) (s),9-3568-4 .,,,,Adim
Theoretical - No Known Name,,1 3b 4 6b 6 7 .,100101001101,6,4.6,C Eb F Ab A B .,(L+s) (L) (L+s) (L-s) (L) (s),9-3679-5 .,F Ab,Fm,,Adim
Theoretical - No Known Name,,1 3b 3 5 7b 7 .,100110010011,6,4.6,C Eb E G Bb B .,(L+s) (L-s) (L+s) (L+s) (L-s) (s),8-367-4 .,C Eb,Cm Em,Eb+,Edim
Locrian Pentatonic 2,,1 3b 3 5b 7b .,100110100010,5,4.6,C Eb E Gb Bb .,(L+s) (L-s) (2s) (2L) (L),10-2368910-7 .,,Ebm,,Cdim
Theoretical - No Known Name,,1 3b 3 5b 5 6 .,100110110100,6,4.6,C Eb E Gb G A .,(L+s) (L-s) (2s) (L-s) (L) (L+s),10-23569-7 .,C,Cm Am,,Cdim Adim
Theoretical - No Known Name,,1 3b 3 4 4# .,100111100000,5,4.6,C Eb E F F# .,(L+s) (L-s) (s) (L-s) (2L+2s),9-25679-4 .,,,,
Theoretical - No Known Name,,1 2 4 4# 5# 6 .,101001101100,6,4.6,C D F F# G# A .,(L) (L+s) (s) (2L-2s) (s) (L+s),9-3679-2 .,D F,Dm,,
Theoretical - No Known Name,,1 2 3b 6b 7 .,101100001001,5,4.6,C D Eb Ab B .,(L) (s) (2L+s) (2L-s) (s),9-34689-5 .,Ab,,,
Theoretical - No Known Name,,1 2 2#4# 5 .,101100110000,5,4.6,C D D# F# G .,(L) (L-s) (L+s) (s) (2L+s),9-45689-1 .,,,,
Theoretical - No Known Name,,1 2b 5b 6b 6  .,110000101100,5,4.6,C Db Gb Ab A .,(s) (2L+s) (L) (L-s) (L+s),9-45689-7 .,,,,
Theoretical - No Known Name,,1 2b 5b 6b 6 8b .,110000101101,6,4.6,C Db Gb Ab A Cb .,(s) (2L+s) (L) (L-s) (2s) (L-s),10-567910-8 .,,,,
Theoretical - No Known Name,,1 1# 3 7b 7 .,110010000011,5,4.6,C C# E Bb B .,(L-s) (L+s) (2L+2s) (L-s) (s),9-24569-3 .,,,,
Theoretical - No Known Name,,1 1# 3 5 6# 7 .,110010010011,6,4.6,C C# E G A# B .,(L-s) (L+s) (L+s) (2L-s) (s) (s),10-347910-1 .,C,Em,,C#dim A#dim
Raga Kalagada,(Kalgada),1 1# 3 5 5# 6 .,110010011100,6,4.6,C C# E G G# A .,(L-s) (L+s) (L+s) (L-s) (s) (L+s),8-367-1 .,C A,C#m Am,C+,C#dim
Theoretical - No Known Name,,1 2b 3 4 7b 7 .,110011000011,6,4.6,C Db E F Bb B .,(s) (2L-s) (s) (2L+s) (L-s) (s),10-23789-6 .,,Bbm,,
Theoretical - No Known Name,,1 1# 2# 5# 6 .,110100001100,5,4.6,C C# D# G# A .,(L-s) (L) (2L+s) (s) (L+s),9-23567-1 .,,,,
Theoretical - No Known Name,,1 1# 2# 5# 6 6# .,110100001110,6,4.6,C C# D# G# A A# .,(L-s) (L) (2L+s) (s) (L-s) (2s),10-23567-1 .,,,,
Theoretical - No Known Name,,1 2b 2 4 6b 7 .,111001001001,6,4.6,C Db D F Ab B .,(s) (L-s) (L+s) (L+s) (2L-s) (s),10-347910-6 .,Db,Fm,,Ddim Bdim
Theoretical - No Known Name,,1 2b 3b 5b 6 .,110100100100,5,4.6,C Db Eb Gb A .,(s) (L) (L+s) (2L-s) (L+s),9-35689-7 .,,,,Cdim Adim
Theoretical - No Known Name,,1 2b 3b 4b 7bb .,110110000100,5,4.6,C Db Eb Fb Bbb .,(s) (L) (s) (2L+s) (2L-s),9-34689-10 .,Bbb,,Bbb+,
Theoretical - No Known Name,,1 2b 2 7b 8b .,111000001011,5,4.6,C Db D Bb Cb .,(s) (L-s) (3L+2s) (s) (L-s),9-24579-8 .,,,,
Theoretical - No Known Name,,1 2b 2 5 6b 7 .,111000011001,6,4.6,C Db D G Ab B .,(s) (L-s) (2L+s) (s) (2L-s) (s),10-345910-6 .,G,,,
Theoretical - No Known Name,,1 1# 2 4# 5# 6# .,111000101010,6,4.6,C C# D F# G# A# .,(L-s) (s) (2L) (L) (L) (2s),10-245610-1 .,F#,,D+,
Theoretical - No Known Name,,1 1# 2 4 5# 7 .,111001001001,6,4.6,C C# D F G# B .,(L-s) (s) (L+s) (2L-s) (L+s) (s),9-3568-2 .,,,,G#dim Bdim
Theoretical - No Known Name,,1 1# 2 4 4# 6 .,111001100100,6,4.6,C C# D F F# A .,(L-s) (s) (L+s) (L-s) ((L+s) (L+s),8-367-2 .,D F,Dm F#m,F+,F#dim
Theoretical - No Known Name,,1 2b 2 3b 4b 5b 5 6b 7bb 8b .,111110111101,10,4.6,C Db D Eb Fb Gb G Ab Bbb Cb .,(s) (L-s) (s) (s) (L) (L-s) (s) (s) (L) (L-s),11-89-10 .,Fb Ab Bbb Cb,Cm Dbm Gbm Abm,Fb+ Bbb+ Cb+,Cdim Ebdim
Takemitsu Tree Line Mode1(3 #s from C),,1 2 2# 4# 5# 7 .,101100101001,6,4.6,C D D# F# G# B .,(L) (L-s) (L+s) (L) (L+s) (s),9-2458-1 .,B,G#m Bm,,G#dim
Blues Dorian Hexatonic,,1 2b 3b 3 5 6 .,110110010100,6,4.6,C Db Eb E G A .,(s) (L) (L-s) (L+s) (L) (L+s),9-2458-6 .,C,Cm Am,,Adim
Blues Dorian Hexatonic,,1 1# 2# 3 5 6 .,110110010100,6,4.6,C C# D# E G A .,(L-s) (L) (s) (L+s) (L) (L+s),9-3679-1 .,C A,Am,,C#dim
Raga Devaranjani (India),(Devaranji,1 4 5 5# 7 .,100001011001,5,4.6,C F G G# B .,(2L+s) (L) (L-s) (L+s) (s),9-45689-2 .,,,,
Theoretical - No Known Name,,1 1# 2 7b 7 .,111000001011,5,4.6,C C# D Bb B .,(L-s) (s) (3L+2s) (L-s) (s),9-24679-3 .,,,,
Blues Pentacluster,,1 1# 2 2# 4# .,111100100000,5,4.6,C C# D D# F# .,(L-s) (s) (L-s) (L+s) (2L+2s),9-24569-1 .,,,,
Blues PentaCluster 2b s 1#,,1 1# 2 3b 4 .,111101000000,5,4.6,C C# D Eb F .,(L-s) (s) (s) (L) (3L+s),10-2578910-4 .,,,,
C7(b5) chord,Chord C7 (b12),1 3 5b 5 7b .,100010110010,5,4.6,C E Gb G Bb .,(2L) (2s) (L-s) (L+s) (L),10-2346910-7 .,C,,,Edim
Theoretical - No Known Name,,1 3b 3 4 4# 6b 7b 7 .,100111101011,8,4.6071,C Eb E F F# Ab Bb B .,(L+s) (L-s) (s) (L-s) (2s) (L)(L-s) (s),10-678-5 .,Ab,Fm,Ab+,
Theoretical - No Known Name,,1 1# 3 4 4# 5# 6 7b .,110011101110,8,4.6071,C C# E F F# G# A Bb .,(L-s) (L+s) (s) (L-s) (L) (s) (s) (L),10-457-3 .,F A,C#m F#m Am,C+ F+,F#dim
Theoretical - No Known Name,,1 2b 3b 4b 5 6b 6 7 .,110110011101,8,4.6071,C Db Eb E G Ab A B .,(s) (L) (L-s) (L+s) (s) (L-s) (L) (s),10-458-6 .,Ab,Cm Dbm,Eb+ Fb+,Adim
Theoretical - No Known Name,,1 1# 2 4 4# 5# 6 7b .,111001101110,8,4.6071,C C# D F F# G# A Bb .,(L-s) (s) (L+s) (L-s) (L) (s) (s) (L),10-478-3 .,D F Bb,Dm F#m,F+ Bb+,F#dim
Theoretical - No Known Name,,1 1# 2 4 4# 5 5# 7b .,111001111010,8,4.6071,C C# D F F# G G# Bb .,(L-s) (s) (L+s) (L-s) (s) (L-s) (2s) (L),10-678-3 .,Bb,Gm,Bb+,
Theoretical - No Known Name,,1 2b 3b 3 4# 5 6 7b 7 .,110110110111,9,4.6111,C Db Eb E F# G A Bb B .,(s) (L) (L-s) (L) (s) (L) (s) (L-s) (s),11-258-6 .,C Eb,Cm Em Am,Eb+,Edim Gdim Adim
Theoretical - No Known Name,,1 1# 2 2# 3 4 6 6# 7 .,111111000111,9,4.6111,C C# D D# E F A A# B .,(L-s) (s) (L-s) (s) (s) (2L) (L-s) (s) (s),11-3810-2 .,F A,Dm Am,F+,A#dim Bdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 4# 6# 7 .,111111100011,9,4.6111,C C# D D# E F F# A# B .,(L-s) (s) (L-s) (s) (s) (L-s) (2L) (s) (s),11-3510-2 .,F# B,D#m Bm,D+,A#dim Bdim
Symmetrical Decatonic,All except Eb and Ab -3b and 6b,1 2b 2 3 4 5b 5 6 7b 7 .,111011110111,10,4.6222,C Db D E F Gb G A Bb B .,(s) (L-s) (L) (s) (s) (L-s) (L) (L) (s),11-34-7 .,C F Gb G Bb,Dm Em Gm Am Bbm,Db+ Gb+,Edim Gdim Bdim
Theoretical - No Known Name,,1 2 2# 3 4 4# 5 5# 6 6# 7 .,101111111111,11,4.6364,C D D# E F F# G G# A A# B .,(L) (L-s) (s) (s) (L-s) (s) (L-s) (s) (L-s) (s) (s),11-9-2 .,C D E F G B,Dm D#m Em G#m Am Bm,C+ D+ G+,D#dim G#dim Bdim
Moorish Phrygian 2b2# expected,,1 1# 2b 3 4 5 5# 7b 7 .,110111011011,9,4.6389,C C# Eb E F G G# Bb B .,(L-s) (2s) (L-s) (s) (L) (L-s) (2s) (L-s) (s),11-6710-4 .,C E,C#m Em Bbm,C+,C#dim Edim Gdim
Youlan -China All Flat - 2b 4b 5b 7b 7b,,1 2b 2 4b 4 5b 5 7bb 7b .,111011110110,9,4.6389,C Db D Fb F Gb G Bbb Bb .,(s) (L-s) (2s) (L-s) (s) (L-s) (2s) (L-s) (L),11-367-10 .,Gb Bbb Bb,Gbm Gm Bbm,Gb+ Bbb+,Gdim Bbdim
Messiaen Mode 6,,1 1# 2 3 4# 5 6b 7b .,111010111010,8,4.6429,C C# D E F# G Ab Bb .,(L-s) (s) (L) (L) (s) (s) (L) (L),11-24810-5 .,C,Gm,Ab+ Bb+,C#dim Edim
Mela Tanarupi (India),Raga Tanukirti,1 1# 2 4 4# 5 6# 7 .,111001010011,8,4.6429,C C# D F F# G A# B .,(L-s) (s) (L+s) (L-s) (s) (2L-s) (s) (s),11-561011-2 .,F# G,Bm,D+,Bdim
Messiaen 3 according to Brown,Van der Horst Octatonic,1 2b 3b 4 4# 5 6 7 .,110101110101,8,4.6429,C Db Eb F F# G A B .,(s)(L) (L) (L-s) (s) (L) (L) (s),11-24810-6 .,F,Cm,Db+ Eb+,Adim
Messiaen 7 according to Brown,Messiaen mode 6 inverse,1 2 3 4 4# 5# 6# 7 .,101011101011,8,4.6429,C D E F F# G# A# B .,(L) (L) (s) (L-s) (L) (L) (s) (s),11-35911-2 .,E,Bm,C+ D+,G#dim Bdim
Messiaen 6th mode From Groves start B,Van der Horst Octatonic,1 2b 3b 4 5b 5 6 7 .,110101110101,8,4.6429,C Db Eb F Gb G A B .,(s) (L) (L) (s) (L-s) (L) (L) (s),11-35911-7 .,F,Cm,Db+ Eb+,Cdim Adim
Theoretical - No Known Name,,1 1# 3 4 5# 6 6# 7 .,110011001111,8,4.6429,C C# E F G# A A# B .,(L-s) (L+s) (s) (2L-s) (s) (L-s) (s) (s),11-34811-2 .,E F A,C#m Am,C+ F+,A#dim
Theoretical - No Known Name,,1 1# 2 2# 4# 5 6# 7 .,111100110011,8,4.6429,C C# D D# F# G Bb B .,(L-s) (s) (L-s) (L+s) (s) (L+s) (L-s) (s),11-26711-3 .,F# G B,D#m Bm,D+ G+,
Theoretical - No Known Name 6b s,,1 2b 2 3b 4b 5b 7bb 8b .,111110100101,8,4.6429,C Db D Eb Fb Gb Bbb Cb .,(s) (L-s) (s) (s) (L) (L+s) (L) (L-s),11-68911-10 .,Bbb Cb,Gbm,Bbb+ Cb+,Cdim Ebdim
Chromatic Mixolydian Inverse,,1 2 4 4# 5 6# 7 .,101001110011,7,4.6667,C D F F# G A# B .,(L) (L+s) (L-s) (s) (2L-s) (s) (s),10-5691011-2 .,G,Bm,D+,Bdim
Chromatic TriMirror,,1 1# 2 .,111000000000,3,4.6667,C C# D .,(L-s) (s) (4L+2s),7-24567-1 .,,,,
Messiaen Truncated Mode 6,,1 2 4# 5# .,101000101000,4,4.6667,C D F# G# .,(L) (2L) (L) (L+2s),8-24568-1 .,,,,
Raga Vutari (India),,1 3 4# 5 6 7b .,100010110110,6,4.6667,C E F# G A Bb .,(2L) (L) (s) (L) (s) (L),8-258-3 .,C,Am,,Edim
"Whole-Tone, Anhemitonic Hexatonic (as whole tone in 12edo) Auxillary Augmented",Messiaen 1st Mode  Raga Gopriya (India) Anhemitonic Hexatonic,1 2 3 4# 5# 7b .,101010101010,6,4.6667,C D E F# G# Bb .,(L) (L) (L) (L) (2s) (L),10-246810-3 .,,,C+ Bb+,
whole tone # s in 12edo),Raga Gopriya (India) Anhemitonic Hexatonic,1 2 3 4# 5# 6# .,101010101010,6,4.6667,C D E F# G# A# .,(L) (L) (L) (L) (L) (2s),10-246810-1 .,,,C+ D+,
whole tone b s in 12edo),Raga Gopriya (India) Anhemitonic Hexatonic,1 2 3 5b 6b 7b .,101010101010,6,4.6667,C D E Gb Ab Bb  .,(L) (L) (2s) (L) (L) (L),10-246810-7 .,,,Gb+ Ab+,
Theoretical - No Known Name (as 6/3456/7 in 12edo),,1 1# 4# .,110000100000,3,4.6667,C C# F# .,(L-s) (2L+s) (2L+2s),7-23456-1 .,,,,
Raga Ongkari (India) (as 6/3456/1 in 12edo),,1 5b 5 .,100000110000,3,4.6667,C Gb G .,(2L+2s) (L-s) (2L+s),7-23456-7 .,,,,
Theoretical - No Known Name (as 6/3456/2 in 12edo),,1 4 8b .,100001000001,3,4.6667,C F Cb .,(2L+s) (2L+2s) (L-s),7-23456-8 .,,,,
Flat Seventh and Seventh,,1 7b 7 .,100000000011,3,4.6667,C Bb B .,(4L+2s) (L-s) (s),7-24567-3 .,,,,
Theoretical - No Known Name,,1 2b 8b .,110000000001,3,4.6667,C Db Cb .,(s) (4L+2s) (L-s),7-24567-8 .,,,,
Chromatic Mixolydian,,1 1# 2 4 4# 5 6# .,111001110010,7,4.6667,C C# D F F# G A# .,(L-s) (s) (L+s) (L-s) (s) (2L-s) (2s),11-5671011-2 .,F#,,D+,
Messiaen Truncated Mode 6 Inverse?,,1 3 4# 7b .,100010100010,4,4.6667,C E F# Bb .,(2L) (L) (L+2s) (L),8-24568-3 .,,,,
Mela Rasikapriya (India),"Raga Rasamanjari,  Hamsagiri",1 2# 3 4# 5 6# 7 .,100110110011,7,4.6667,C D# E F# G A# B .,(2L-s) (s) (L) (s) (2L-s) (s) (s),10-3489-1 .,C B,D#m Em,G+,
Mela Jhotisvarupini (India),Raga Jotismatti,1 2# 3 4# 5 5# 6# .,100110111010,7,4.6667,C D# E F# G G# A# .,(2L-s) (s) (s) (s) (L-s) (L)(2s),10-3468-1 .,C,D#m,C+,
Raga Salagavarali (India),,1 2b 3b 5 6 7b .,110100010110,6,4.6667,C Db Eb G A Bb .,(s) (L) (2L) (L) (s) (L),8-258-6 .,Eb,Cm,,Gdim Adim
Theoretical - No Known Name,,1 6b 6  .,100000001100,3,4.6667,C Ab A .,(3L+2s) (L-s) (L+s),7-23467-5 .,,,,
Theoretical - No Known Name,,1 5 5# 7  .,100000011001,4,4.6667,C G G# B .,(3L+s) (L-s) (L+s) (s),8-34578-1 .,,,,
Theoretical - No Known Name,,1 4 6b 7 .,100001001001,4,4.6667,C F Ab B .,(2L+s) (L+s) (2L-s) (s),9-236789-5 .,,Fm,,
Theoretical - No Known Name,,1 4 4# .,100001100000,3,4.6667,C F F# .,(2L+s) (L-s) (2L+2s),7-34567-2 .,,,,
Theoretical - No Known Name,,1 3b 5b 5 6b 6 7 .,100100111101,7,4.6667,C Eb Gb G Ab A B .,(L+s) (L+s) (L-s) (s) (L-s) (L) (s),11-265911-7 .,Ab,Cm,Eb+,Cdim Adim
Theoretical - No Known Name,,1 3b 3 .,100110000000,3,4.6667,C Eb E .,(L+s) (L-s) (3L+2s),7-23567-4 .,,,,
Theoretical - No Known Name,,1 3b 3 7 .,100110000001,4,4.6667,C Eb E B .,(L+s) (L-s) (3L+s) (s),8-235679-4 .,,,,
Theoretical - No Known Name,,1 2# 3 4 5 5# 6 7b 7 .,100111011111,9,4.6667,C D# E F G G# A Bb B .,(2L-s) (s) (s) (L) (L-s) (s) (s) (L-s) (s),11-5910-3 .,C E F,Em G#m Am,C+ G+,Edim
Theoretical - No Known Name,,1 2 4# 5# 6 7 .,101000101101,6,4.6667,C D F# G# A B .,(L) (2L) (L) (s) (L) (s),8-258-1 .,D,Bm,,G#dim
Theoretical - No Known Name,,1 2 2# 4# 5# 6 6#  .,101100101110,7,4.6667,C D D# F# G# A A#  .,(L) (L-s) (L+s) (L) (s) (L-s) (2s),10-2568-1 .,D,D#m,D+,D#dim
Theoretical - No Known Name,,1 2 3b 4 5b 6b .,101101101000,6,4.6667,C D Eb F Gb Ab .,(L) (s) (L) (s) (L) (2L),8-258-7 .,Ab,Fm,,Cdim Ddim
Theoretical - No Known Name,,1 2 3b 3 5b 6b 7 .,101110101001,7,4.6667,C D Eb E F# Ab B .,(L) (s) (L-s) (L) (2s) (2L-s) (s),10-3468-5 .,Ab,,Ab+,Cdim
Theoretical - No Known Name,,1 2 2# 3 4 4# 5 5# 6# 7 .,101111111011,10,4.6667,C D D# E F F# G G# A# B .,(L) (L-s) (s) (s) (L-s) (s) (L-s) (L) (s) (s),11-59-2 .,C E G B,D#m Em G#m Bm,C+ D+ G+,G#dim Bdim
Theoretical - No Known Name,,1 1# 6 .,110000000100,3,4.6667,C C# A .,(L-s) (3L+2s) (L+s),7-23567-1 .,,,,
Theoretical - No Known Name,,1 1# 5# 6 .,110000001100,4,4.6667,C C# G# A .,(L-s) (3L+s) (s) (L+s),8-23567-1 .,,,,
Theoretical - No Known Name,,1 1# 5 .,110000010000,3,4.6667,C C# G .,(L-s) (2L+2s) (2L+s),7-34567-1 .,,,,
Theoretical - No Known Name,,1 1# 3 .,110010000000,3,4.6667,C C# E .,(L-s) (L+s) (3L+2s),7-23467-1 .,,,,
Theoretical - No Known Name,,1 2b 3 4 .,110011000000,4,4.6667,C Db E F .,(s) (2L-s) (s) (3L+s),9-234789-6 .,,,,
Theoretical - No Known Name,,1 2b  3 4 5b 7b .,110011100010,6,4.6667,C C# E F F# Bb .,(L-s) (L+s) (s) (L-s) (L+2s) (L),9-4568-3 .,Gb,Bbm,,
Theoretical - No Known Name,,1 1# 2# 4 5# 6 7 .,110101001101,7,4.6667,C C# D# F G# A B .,(L-s) (L) (2s) (L) (s) (L) (s),10-3468-2 .,F,G#m,F+,
Super-Locrian Hexamirror,,1 2b 3b 4b 5b 7b .,110110100010,6,4.6667,C Db Eb Fb Gb Bb .,(s) (L) (s) (L) (2L) (L),8-258-9 .,Gb,Ebm,,Cdim Bbdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5 7bb .,110111010100,7,4.6667,C Db Eb Fb F G Bbb .,(s) (L) (s) (L-s) (L) (2s) (2L-s),10-3468-10 .,Bbb,Cm,Bbb+,
Theoretical - No Known Name,,1 1# 2 4 4# 5# .,111001101000,6,4.6667,C C# D F F# G# .,(L-s) (s) (L+s) (L-s) (L) (L+2s),9-3567-2 .,,,,
Theoretical - No Known Name,,1 1# 2 3 5 5# 6# .,111010011010,7,4.6667,C C# D E G G# A# .,(L-s) (s) (L) (L+s) (L-s) (L) (2s),10-46710-1 .,C,C#m,C+,C#dim A#dim
Theoretical - No Known Name,,1 1# 2 3 4 5# 6# .,111011001010,7,4.6667,C C# D E F G# Bb .,(L-s) (s) (L) (s) (2L-s) (2s) (L),10-3578-3 .,,C#m,C+,A#dim
Theoretical - No Known Name,,1 1# 2 2# 4# 6 7b .,111100100110,7,4.6667,C C# D D# F# A Bb .,(L-s) (s) (L-s) (L+s) (L+s) (s) (L),11-247811-3 .,D,F#m,Bb+,D#dim F#dim
Theoretical - No Known Name,,1 2b 2 3b 4b 5b 5 7bb 8b .,111110110101,9,4.6667,C Db D Eb Fb Gb G Bbb Cb .,(s) (L-s) (s) (s) (L) (L-s) (2s) (L) (L-s),11-689-10 .,Bbb Cb,Cm Gbm,Bbb+ Cb+,Cdim Ebdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 4# 6 6# .,111111100110,9,4.6667,C C# D D# E F F# A A# .,(L-s) (s) (L-s) (s) (s) (L-s) (L+s) (L-s) (2s),11-3710-2 .,D F F# A,Dm D#m F#m Am,D+ F+,D#dim F#dim A#dim
Chromatic TriMirror,,1 2b 2 .,111000000000,3,4.6667,C Db D .,(s) (L-s) (4L+2s),7-23457-6 .,,,,
Theoretical - No Known Name,,1 2b 2 4b 4 5b 5 .,111011110000,7,4.6667,C Db D Fb F Gb G .,(s) (L-s) (2s) (L-s) (s) (L-s) (2L+s),10-2567-9 .,,,,
24 LT DAW 4b + C#,,1 1# 2 3b 3 4 5b 5 6b 6 7b 7 .,111111111111,12,4.6667,C C# D Eb E F Gb G Ab A Bb B .,(L-s) (s) (s) (L-s) (s) (s) (L-s) (s) (L-s) (s) (L-s) (s),13-213-7 .,C Eb F G Ab A Bb,Cm Dm Ebm Em Fm Gm Am,Eb+ F+ Gb+ Ab+,Cdim C#dim Ddim Edim Adim Bdim
27 LT DAW 1b4# Eb F# C# G# A#,,1 1# 2 3b 3 4 4# 5 5# 6 6# 7 .,111111111111,12,4.6667,C C# D Eb E F F# G G# A A# B .,(L-s) (s) (s) (L-s) (s) (L-s) (s) (L-s) (s) (L-s) (s) (s),13-213-4 .,C D E F F# G A,Cm C#m Dm Em F#m Am Bm,C+ D+ Eb+ F+,C#dim F#dim G#dim Adim A#dim Bdim
35 LT DAW 3b 2# Bb Eb Db F# G#,,1 2b 2 3b 3 4 4# 5 5# 6 7b 7 .,111111111111,12,4.6667,C Db D Eb E F F# G G# A Bb B .,(s) (L-s) (s) (L-s) (s) (L-s) (s) (s) (L-s) (s) (L-s) (s),13-213-6 .,C D Eb E F G Bb,Cm Dm Em Gm Am Bbm Bm,C+ Db+ Eb+ Bb+,Edim Gdim G#dim Adim Bdim
46 LT DAW 2b3# Bb Ab F# C# D#,,1 1# 2 2# 3 4 4# 5 6b 6 7b 7 .,111111111111,12,4.6667,C C# D D# E F F# G Ab A Bb B .,(L-s) (s) (L-s) (s) (s) (L-s) (s) (s) (L-s) (s) (L-s) (s),13-213-5 .,C D F G A Bb B,Dm Em Fm F#m Gm Am Bm,F+ G+ Ab+ Bb+,C#dim Ddim D#dim Edim F#dim Bdim
50 LT DAW 5b 1# Bb Eb Ab Db Cb F#,,1 2b 2 3b 3 4 4# 5 6b 6 7b 8b .,111111111111,12,4.6667,C Db D Eb E F F# G Ab A Bb Cb .,(s) (L-s) (s) (L-s) (s) (L-s) (s) (s) (L-s) (s) (s) (L-s),13-213-8 .,C Db D Eb F Ab Bb,Cm Dm Fm Gm Abm Am Bbm,Db+ Ab+ Bb+ Cb+,Ddim Edim Fdim Gdim Adim
Theoretical - No Known Name,,1 2 3 4 5b 5 6b 8b .,101011111001,8,4.6786,C D Fb F Gb G Ab Cb .,(L) (2s) (L-s) (s) (L-s) (s) (L+s) (L-s),10-467-9 .,C,Fm,Ab+,Ddim Fdim
Theoretical - No Known Name,,1 1# 3 4 4# 5 5# 7b .,110011111010,8,4.6786,C C# E F F# G G# Bb .,(L-s) (L+s) (s) (L-s) (s) (L-s) (2s) (L),10-568-3 .,C,C#m,C+,C#dim Edim
